"시점","시도별",소아청소년과
"2024.2/4","제주특별자치도",35
"2024.3/4","계",2184
"2024.3/4","서울특별시",455
"2024.3/4","부산광역시",141
"2024.3/4","대구광역시",117
"2024.3/4","인천광역시",144
"2024.3/4","광주광역시",41
"2024.3/4","대전광역시",56
"2024.3/4","울산광역시",33
"2024.3/4","세종특별자치시",27
"2024.3/4","경기도",700
"2024.3/4","강원특별자치도",56
"2024.3/4","충청북도",56
"2024.3/4","충청남도",64
"2024.3/4","전북특별자치도",66
"2024.3/4","전라남도",25
"2024.3/4","경상북도",72
"2024.3/4","경상남도",96
"2024.3/4","제주특별자치도",35
"2024.4/4","계",2187
"2024.4/4","서울특별시",456
"2024.4/4","부산광역시",141
"2024.4/4","대구광역시",118
"2024.4/4","인천광역시",144
"2024.4/4","광주광역시",41
"2024.4/4","대전광역시",56
"2024.4/4","울산광역시",33
"2024.4/4","세종특별자치시",27
"2024.4/4","경기도",702
"2024.4/4","강원특별자치도",56
"2024.4/4","충청북도",56
"2024.4/4","충청남도",64
"2024.4/4","전북특별자치도",66
"2024.4/4","전라남도",25
"2024.4/4","경상북도",72
"2024.4/4","경상남도",95
"2024.4/4","제주특별자치도",35
"2025.1/4","계",2181
"2025.1/4","서울특별시",455
"2025.1/4","부산광역시",142
"2025.1/4","대구광역시",118
"2025.1/4","인천광역시",144
"2025.1/4","광주광역시",39
"2025.1/4","대전광역시",56
"2025.1/4","울산광역시",32
"2025.1/4","세종특별자치시",27
"2025.1/4","경기도",700
"2025.1/4","강원특별자치도",56
"2025.1/4","충청북도",57
"2025.1/4","충청남도",62
"2025.1/4","전북특별자치도",66
"2025.1/4","전라남도",25
"2025.1/4","경상북도",71
"2025.1/4","경상남도",96
"2025.1/4","제주특별자치도",35
"2025.2/4","계",2181
"2025.2/4","서울특별시",458
"2025.2/4","부산광역시",142
"2025.2/4","대구광역시",119
"2025.2/4","인천광역시",146
"2025.2/4","광주광역시",39
"2025.2/4","대전광역시",57
"2025.2/4","울산광역시",32
"2025.2/4","세종특별자치시",27
"2025.2/4","경기도",697
"2025.2/4","강원특별자치도",56
"2025.2/4","충청북도",56
"2025.2/4","충청남도",63
"2025.2/4","전북특별자치도",64
"2025.2/4","전라남도",24
"2025.2/4","경상북도",71
"2025.2/4","경상남도",95
"2025.2/4","제주특별자치도",35
"2025.3/4","계",2175
"2025.3/4","서울특별시",456
"2025.3/4","부산광역시",140
"2025.3/4","대구광역시",119
"2025.3/4","인천광역시",144
"2025.3/4","광주광역시",40
"2025.3/4","대전광역시",56
"2025.3/4","울산광역시",32
"2025.3/4","세종특별자치시",26
"2025.3/4","경기도",694
"2025.3/4","강원특별자치도",56
"2025.3/4","충청북도",56
"2025.3/4","충청남도",63
"2025.3/4","전북특별자치도",66
"2025.3/4","전라남도",24
"2025.3/4","경상북도",71
"2025.3/4","경상남도",97
"2025.3/4","제주특별자치도",35
"2025.4/4","계",2156
"2025.4/4","서울특별시",448
"2025.4/4","부산광역시",139
"2025.4/4","대구광역시",120
"2025.4/4","인천광역시",142
"2025.4/4","광주광역시",40
"2025.4/4","대전광역시",56
"2025.4/4","울산광역시",32
"2025.4/4","세종특별자치시",26
"2025.4/4","경기도",687
"2025.4/4","강원특별자치도",56
"2025.4/4","충청북도",56
"2025.4/4","충청남도",63
"2025.4/4","전북특별자치도",64
"2025.4/4","전라남도",24
"2025.4/4","경상북도",72
"2025.4/4","경상남도",97
"2025.4/4","제주특별자치도",34
